id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-ED-A5KG-01A-11R-A27V-07,0.199469129,0,0.021584417,0.195721886,0,0.181625642,0.022354634,0.028450877,0.064108175,0.054618148,0,0,0,0.084425307,0.090112038,0.043756686,0,0,0.013773061,0,0,0
TCGA-UB-A7ME-01A-11R-A33J-07,0.048120626,0,0.027768652,0.168683647,0,0.115363602,0,0.037475081,0.101482675,0,0,0.079140154,0,0.200582721,0.090042221,0.083846614,0,0,0.042910577,0,0,0.004583431
TCGA-MR-A8JO-01A-12R-A36F-07,0.036159699,0,0.009957055,0.110551121,0,0.249071626,0,0.001821394,0.093271754,0.052986765,0,0.020370798,0,0.153554673,0.096246596,0.132144057,0.013303485,0,0.030560977,0,0,0
TCGA-2Y-A9GX-01A-11R-A38B-07,0.013201964,0,0.006516622,0.106153946,0,0.325162557,0.002885416,0,0.012267062,0,0.003343178,0.010493367,0.010721238,0.151932048,0.062676926,0.179035607,0.080573326,0,0.035036743,0,0,0
TCGA-CC-A3MA-01A-11R-A213-07,0.022480922,0,0,0.087506837,0,0.058179085,0,0.000709262,0.027958354,0,0.003233481,0.00396688,0,0.496313978,0.108632473,0.161058657,0.003420193,0,0.01300401,0,0,0.01353587
TCGA-DD-A4NH-01A-11R-A27V-07,0,0,0,0.026689359,0,0.062876896,0,0.015300406,0.101969188,0,0,0.134696703,0,0.317632939,0.013924891,0.009088049,0.042165332,0,0.075057214,0,0,0.200599024
TCGA-G3-A5SM-01A-12R-A28V-07,0.005765589,0,0.04709951,0.036290246,0,0.120076199,0.007700526,0,0.069691985,0.013372928,0,0.044722125,0.011907611,0.328672195,0.092283857,0.093065692,0.050142198,0,0.079209338,0,0,0
TCGA-DD-AAVQ-01A-11R-A41C-07,0.073368366,0,0.079841095,0.177200225,0,0.13456721,0.013828844,0.065792133,0.059145662,0,0,0.011208384,0.019218024,0.176114354,0.063304341,0.054939559,0.031499928,0,0.039971874,0,0,0
TCGA-DD-A4NR-01A-11R-A311-07,0.03346623,0,0.002016021,0.278739408,0,0.114576737,0.039418447,0.045810699,0.069638914,0,0.004323995,0.021713717,0.003163533,0.113641346,0.063751478,0.199360414,0.007263552,0,0,0,0,0.003115509
TCGA-DD-A1EC-01A-21R-A131-07,0.015063849,0,0.017767643,0.204191969,0,0.019349847,0.04781551,0.061356278,0.09099757,0.080161805,0.050644672,0.039424,0,0.165407005,0.085075511,0.086820113,0.004569512,0,0.031354718,0,0,0
TCGA-ED-A7PX-01A-51R-A352-07,0.038591553,0,0.009605419,0.062150412,0,0.154023103,0,0.002718602,0.048035502,0,0,0.045695456,0.064975667,0.246251228,0.044633937,0.23045081,0,0,0.049510297,0,0,0.003358014
TCGA-PD-A5DF-01A-11R-A27V-07,0.01015801,0,0.003775905,0.012959228,0,0.106417294,0,0,0.03076265,0,0,0.029399956,0,0.556925026,0.058733582,0.132317339,0.004592067,0,0.053958943,0,0,0
TCGA-DD-AAE4-01A-11R-A41C-07,0.023516539,0,0.026022095,0.1469751,0,0.179893117,0,0,0.027687135,0.093707832,0,0.086260085,0,0.038901503,0.1419222,0.138695959,0.020674695,0,0.073276111,0,0,0.002467629
TCGA-DD-AACL-01A-11R-A41C-07,0.003223316,0,0.106220102,0.089939557,0,0.022729805,0.026950016,0.028597311,0.032527147,0.010804778,0,0.018052438,0.023579578,0.366636904,0.067205281,0.143190155,0.017283046,0,0.030586339,0,0,0.012474225
TCGA-G3-AAV3-01A-11R-A37K-07,0,0,0.109457469,0.302334837,0,0.030534098,0.02606149,0.016135812,0.073121811,0,0,0.042827969,0.011975416,0.171872288,0.06618157,0.110928052,0.011264693,0,0.027304496,0,0,0
TCGA-BC-4073-01B-02R-A131-07,0.038337014,0,0.038479259,0.15827102,0,0,0.065835132,0.034558466,0.052244824,0.02562387,0,0.001496891,0,0.27658795,0.052374668,0.137254728,0.02760205,0,0.020952005,0,0,0.070382124
TCGA-FV-A4ZP-01A-12R-A266-07,0.00580169,0,0,0.16529116,0,0.040106295,0,0.023197424,0.144493977,0,0,0.055769558,0.028865488,0.29940273,0.048340114,0.172714028,0,0,0.016017535,0,0,0
TCGA-DD-AAVV-01A-11R-A41C-07,0.043345355,0,0.027251167,0.081694553,0,0.180449276,0.013415879,0,0.078756469,0,0,0.04745772,0.011059234,0.144871382,0.13180263,0.106994087,0.071110308,0,0.059134575,0,0,0.002657368
TCGA-DD-AACC-01A-11R-A41C-07,0.051812792,0,0.050639344,0.358427943,0,0.029933774,0.020089232,0.033026646,0.082352384,0.0119987,0,0.067032819,0.015602137,0.064166738,0.067862799,0.108848448,0.034473777,0,0.001364985,0,0,0.002367482
TCGA-DD-A1EL-01A-11R-A155-07,0.002642597,0,0.005365531,0,0,0.071127911,0.003947395,0.014111787,0.066013295,0,0.034318493,0,0.012742432,0.343896242,0.029446587,0.27929872,0.055152754,0,0.080437283,0,0.001498974,0
TCGA-G3-A25X-01A-11R-A16W-07,0,0,0,0.186097364,0,0.136972275,0,0,0.103395157,0,0,0.084621259,0.005492827,0.08991219,0.057076674,0.188866618,0.076988465,0,0.038556865,0,0,0.032020306
TCGA-DD-A73F-01A-11R-A32O-07,0.01228731,0,0,0.293019358,0,0.154295139,0.004081063,0.034042114,0.057466693,0.027494518,0,0.080583793,0,0.077736006,0.091759239,0.117312184,0.011585647,0,0.038005652,0,0,0.000331284
TCGA-CC-A1HT-01A-11R-A131-07,0.013098589,0,0,0.038891975,0,0.169555539,0.094759793,0.060995079,0.013103794,0,0,0.06944761,0.002685357,0.162554308,0.114037184,0.181801185,0.045190546,0,0.018937138,0,0.003719058,0.011222845
