id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-CD-A486-01A-11R-A24K-31,0.031797244,0,0.055732047,0.029897776,0,0.047894252,0,0.025535769,0.076907996,0,0,0.013960513,0,0.474902207,0.034960181,0.173816427,0,0,0,0.033907676,0,0.000687913
TCGA-VQ-A8P8-01A-11R-A39E-31,0.071236961,0.162659704,0.145669975,0.055094968,0,0.26090398,0,0,0.0845537,0,0,0.020322817,0,0.03474551,0.011047238,0.007626115,0.007810648,0.043400886,0.094927498,0,0,0
TCGA-BR-8058-01A-31R-2343-13,0.024019879,0.022196416,0.027886637,0.184392571,0,0.201396819,0.076640438,0.013565661,0.075846708,0,0.009882154,0,0.004816638,0.060956786,0.095254699,0.114916497,0.028030793,0,0.034053982,0,0,0.026143322
TCGA-CG-4460-01A-01R-1157-13,0.095607472,0,0.076014085,0.052676426,0,0.217024577,0.007420497,0.033050218,0.01061265,0,0.012455024,0,0.002202706,0.11908733,0.076138151,0.175264718,0.003055171,0,0,0.090898199,0.018889593,0.009603183
TCGA-BR-6852-01A-11R-1884-13,0.003763423,0,0.026373556,0.338283426,0,0,0.050782949,0.028316642,0.086386386,0,0.032406981,0.047377767,0,0.177536846,0.054597195,0.138004724,0,0,0.016170105,0,0,0
TCGA-HU-A4H5-01A-21R-A251-31,0.034799342,0,0.182343289,0.094728357,0,0,0.003603715,0.004083881,0.066490403,0.003467493,0.048252686,0,0,0.34473282,0.023672212,0.089452972,0,0,0,0.074175577,0,0.030197255
TCGA-D7-6522-01A-11R-1802-13,0.039943577,0.038337321,0.033847809,0.152225861,0,0.094953708,0.045301214,0.025115798,0.107639646,0,0,0.008468334,0.007481221,0.115048997,0.061798949,0.193091304,0.036764752,0,0.029824538,0,0.008177004,0.001979969
TCGA-D7-A6F2-01A-12R-A31P-31,0.030117823,0,0.054744281,0.039581511,0,0.352493009,0.00021523,0,0.086321536,0,0,0.038587182,0.005287762,0.189834714,0.04654995,0.106871137,0.000696211,0,0.038603672,0,0.010095982,0
TCGA-BR-7717-01A-11R-2055-13,0.193303123,0,0,0.026640451,0,0.194444814,0,0.028476173,0.063016285,0,0.018491763,0,0,0.204744353,0.0728557,0.127044719,0,0,0,0.070982618,0,0
TCGA-BR-6707-01A-11R-1884-13,0.018003975,0,0.026436729,0.336322468,0,0.054170538,0.122818913,0.024713482,0.07416048,0,0,0.007488602,0.007572936,0.140812489,0.085583359,0.081620739,0.011354181,0,0.008941109,0,0,0
TCGA-CG-4444-01A-01R-1157-13,0.077282242,0,0.032391817,0.038001258,0,0.300347556,0.038061921,9.84E-05,0.039251761,0,0.007525845,0,0.00807862,0.042692938,0.051249475,0.21664001,0.017674321,0.002720684,0,0.094444571,0,0.033538618
