,id,ac,km
102,TCGA-EA-A1QS-01A-61R-A22U-07,1,2
103,TCGA-DS-A0VL-01A-21R-A10U-07,0,3
104,TCGA-EK-A2RM-01A-21R-A18M-07,2,1
105,TCGA-VS-AA62-01A-11R-A42T-07,0,3
106,TCGA-C5-A7XC-01A-11R-A38B-07,1,2
107,TCGA-VS-A9U6-01A-11R-A42T-07,1,3
108,TCGA-C5-A1MP-01A-11R-A14Y-07,1,2
109,TCGA-EA-A3HU-01A-11R-A213-07,0,3
110,TCGA-IR-A3LH-01A-21R-A213-07,0,3
111,TCGA-DG-A2KL-01A-11R-A180-07,1,2
112,TCGA-DS-A5RQ-01A-11R-A28H-07,1,2
113,TCGA-JW-A5VJ-01A-11R-A28H-07,1,2
114,TCGA-UC-A7PD-01A-11R-A352-07,3,1
115,TCGA-LP-A4AX-01A-12R-A24H-07,4,0
116,TCGA-C5-A7X3-01A-11R-A352-07,3,4
117,TCGA-FU-A3NI-01A-11R-A21T-07,1,2
118,TCGA-BI-A0VR-01A-11R-A10U-07,0,3
119,TCGA-LP-A7HU-01A-11R-A33Z-07,0,3
120,TCGA-EA-A3QE-01A-21R-A21T-07,0,3
121,TCGA-FU-A3HY-01A-11R-A21T-07,2,1
122,TCGA-ZJ-A8QR-01A-11R-A37O-07,2,2
123,TCGA-C5-A7CO-01A-11R-A352-07,0,3
124,TCGA-EA-A6QX-01A-12R-A33Z-07,3,4
125,TCGA-EK-A2RA-01A-11R-A18M-07,0,3
126,TCGA-MY-A5BF-01A-11R-A26T-07,4,0
127,TCGA-ZX-AA5X-01A-11R-A42T-07,1,2
128,TCGA-C5-A1BQ-01C-11R-A213-07,4,0
129,TCGA-C5-A8XJ-01A-11R-A37O-07,0,3
130,TCGA-EA-A5ZD-01A-11R-A28H-07,1,2
131,TCGA-EK-A2GZ-01A-11R-A180-07,1,2
132,TCGA-EK-A2RK-01A-11R-A18M-07,0,3
133,TCGA-VS-A8EB-01A-11R-A36F-07,0,3
134,TCGA-DS-A0VK-01A-21R-A10U-07,1,2
135,TCGA-EA-A4BA-01A-21R-A26T-07,2,1
136,TCGA-C5-A8YT-01A-11R-A37O-07,0,3
137,TCGA-VS-A954-01A-11R-A38B-07,3,4
138,TCGA-DG-A2KJ-01A-11R-A32Y-07,0,3
139,TCGA-MA-AA43-01A-11R-A42T-07,2,1
140,TCGA-C5-A2LT-01A-11R-A18M-07,0,3
141,TCGA-PN-A8MA-01A-11R-A36F-07,0,4
142,TCGA-VS-A959-01A-11R-A42T-07,3,4
143,TCGA-VS-A950-01A-11R-A42T-07,3,4
144,TCGA-IR-A3LF-01A-21R-A22U-07,1,2
145,TCGA-EA-A50E-01A-21R-A26T-07,2,1
146,TCGA-C5-A3HF-01A-11R-A213-07,3,4
147,TCGA-Q1-A6DW-01A-11R-A32P-07,1,2
148,TCGA-EA-A411-01A-11R-A24H-07,2,1
149,TCGA-VS-A9UD-01A-11R-A42T-07,0,3
150,TCGA-HM-A6W2-06A-22R-A33Z-07,2,1
151,TCGA-C5-A901-01A-11R-A37O-07,3,1
152,TCGA-JW-A852-01A-11R-A352-07,1,2
153,TCGA-EA-A556-01A-11R-A26T-07,2,2
154,TCGA-DG-A2KM-01A-11R-A180-07,4,0
155,TCGA-JX-A5QV-01A-22R-A28H-07,0,3
156,TCGA-EK-A2PK-01A-11R-A18M-07,0,3
157,TCGA-C5-A1BK-01B-11R-A13Y-07,0,0
158,TCGA-EA-A3HT-01A-61R-A21T-07,1,2
159,TCGA-C5-A2M1-01A-11R-A18M-07,0,0
