,id,ac,km
112,TCGA-A3-A8OX-01A-11R-A37O-07,1,2
113,TCGA-B0-4817-01A-01R-1277-07,1,2
114,TCGA-BP-4331-01A-01R-1289-07,4,2
115,TCGA-BP-4787-01A-01R-1305-07,4,3
116,TCGA-BP-4795-01A-02R-1420-07,4,2
117,TCGA-AK-3451-01A-02R-1188-07,0,4
118,TCGA-CZ-5987-01A-11R-1672-07,1,2
119,TCGA-MM-A564-01A-11R-A266-07,4,2
120,TCGA-CJ-4901-01A-01R-1426-07,0,1
121,TCGA-B0-5092-01A-01R-1420-07,0,1
122,TCGA-BP-4160-01A-02R-1289-07,0,1
123,TCGA-B2-3924-01A-02R-A277-07,0,1
124,TCGA-BP-5176-01A-01R-1426-07,1,2
125,TCGA-BP-4173-01A-02R-1289-07,0,1
126,TCGA-CJ-4888-01A-01R-1305-07,0,1
127,TCGA-BP-5191-01A-01R-1426-07,1,2
128,TCGA-AK-3434-01A-02R-1277-07,1,4
129,TCGA-BP-4329-01A-02R-1289-07,1,2
130,TCGA-BP-4989-01A-01R-1334-07,0,1
131,TCGA-BP-5200-01A-01R-1426-07,0,4
132,TCGA-B2-A4SR-01A-11R-A266-07,1,2
133,TCGA-B0-5102-01A-01R-1420-07,4,2
134,TCGA-BP-4167-01A-02R-1325-07,0,4
135,TCGA-CZ-5462-01A-01R-1503-07,1,2
136,TCGA-A3-3357-01A-02R-1420-07,4,3
137,TCGA-G6-A5PC-01A-11R-A33J-07,0,1
138,TCGA-B2-4099-01A-02R-1188-07,4,2
139,TCGA-A3-3365-01A-01R-0864-07,4,2
140,TCGA-B0-4706-01A-01R-1503-07,0,4
141,TCGA-CJ-4920-01A-01R-1426-07,4,2
142,TCGA-B8-A54I-01A-21R-A33J-07,1,4
143,TCGA-CJ-4893-01A-01R-1305-07,0,1
144,TCGA-CJ-4882-01A-02R-1426-07,1,2
145,TCGA-BP-4960-01A-01R-1334-07,4,4
146,TCGA-BP-4337-01A-01R-1289-07,4,2
147,TCGA-B0-5709-01A-11R-1541-07,1,2
148,TCGA-B0-5706-01A-11R-1541-07,0,1
149,TCGA-CJ-4902-01A-01R-1426-07,4,2
150,TCGA-CJ-4905-01A-02R-1426-07,1,2
151,TCGA-BP-4963-01A-01R-1334-07,4,2
152,TCGA-AK-3460-01A-02R-1277-07,4,2
153,TCGA-AK-3453-01A-02R-1277-07,0,1
154,TCGA-B0-5697-01A-11R-1541-07,0,1
155,TCGA-B0-4841-01A-01R-1277-07,1,4
156,TCGA-CJ-4891-01A-01R-1305-07,4,0
157,TCGA-CZ-5988-01A-11R-1672-07,1,2
158,TCGA-B0-4818-01A-01R-1503-07,1,4
159,TCGA-B0-4714-01A-01R-1277-07,0,1
160,TCGA-A3-3374-01A-02R-1325-07,3,0
161,TCGA-A3-3373-01A-02R-1420-07,4,2
162,TCGA-CJ-5679-01A-11R-1541-07,3,0
163,TCGA-BP-4798-01A-01R-1305-07,0,1
164,TCGA-B8-5549-01A-01R-1541-07,0,1
165,TCGA-DV-5574-01A-01R-1541-07,0,4
166,TCGA-B8-5545-01A-01R-1672-07,4,3
167,TCGA-BP-4165-01A-02R-1289-07,0,4
168,TCGA-DV-A4VX-01A-11R-A266-07,0,4
169,TCGA-B0-4846-01A-01R-1277-07,1,4
170,TCGA-CJ-5686-01A-11R-1672-07,1,2
171,TCGA-CJ-4876-01A-01R-1305-07,0,1
172,TCGA-BP-4345-01A-01R-1289-07,3,0
173,TCGA-B0-4838-01A-01R-1305-07,0,1
174,TCGA-B0-5075-01A-01R-1334-07,2,3
175,TCGA-CZ-5458-01A-01R-1503-07,1,2
176,TCGA-B0-4690-01A-01R-1277-07,1,2
177,TCGA-BP-4335-01A-01R-1289-07,0,4
178,TCGA-A3-3347-01A-02R-1325-07,2,0
179,TCGA-B0-4827-01A-02R-1420-07,0,4
180,TCGA-B0-5402-01A-01R-1503-07,1,2
181,TCGA-CW-6097-01A-11R-1672-07,1,2
182,TCGA-A3-A6NL-01A-11R-A33J-07,4,2
183,TCGA-CJ-5689-01A-11R-1541-07,0,4
184,TCGA-A3-3307-01A-01R-0864-07,0,4
185,TCGA-CZ-4862-01A-01R-1305-07,0,1
186,TCGA-CJ-5675-01A-11R-1541-07,0,1
187,TCGA-CJ-4886-01A-01R-1305-07,0,4
188,TCGA-B0-5106-01A-01R-1420-07,0,4
189,TCGA-B0-4843-01A-01R-1277-07,3,0
190,TCGA-B0-5083-01A-02R-1420-07,4,3
191,TCGA-BP-4325-01A-02R-1289-07,0,1
192,TCGA-CW-5580-01A-01R-1672-07,4,2
193,TCGA-BP-5000-01A-01R-1334-07,0,4
194,TCGA-B8-A54H-01A-11R-A33J-07,0,1
195,TCGA-A3-A8OW-01A-11R-A37O-07,0,1
196,TCGA-B0-4701-01A-01R-1277-07,1,2
197,TCGA-BP-4161-01A-02R-1325-07,0,4
198,TCGA-B8-4143-01A-01R-1188-07,0,4
199,TCGA-B8-5162-01A-01R-1420-07,1,4
200,TCGA-B0-4847-01A-01R-1277-07,0,1
201,TCGA-BP-4995-01A-01R-1334-07,0,4
202,TCGA-CZ-5985-01A-11R-1672-07,4,2
203,TCGA-CZ-4865-01A-02R-1503-07,1,2
204,TCGA-A3-3359-01A-01R-0864-07,0,4
205,TCGA-CJ-6031-01A-11R-1672-07,0,4
206,TCGA-AK-3454-01A-02R-1277-07,4,4
207,TCGA-B0-4852-01A-01R-1503-07,1,2
208,TCGA-CJ-5684-01A-11R-1541-07,0,1
