,id,ac,km
109,TCGA-RD-A8N0-01A-12R-A36D-31,1,0
110,TCGA-IN-A6RL-01A-11R-A32D-31,4,1
111,TCGA-D7-6524-01A-11R-1802-13,0,4
112,TCGA-BR-8059-01A-11R-2343-13,3,4
113,TCGA-FP-7916-01A-11R-2203-13,1,3
114,TCGA-BR-4366-01A-01R-1157-13,0,2
115,TCGA-VQ-A8PC-01A-11R-A39E-31,4,1
116,TCGA-CD-A48C-01A-11R-A24K-31,3,4
117,TCGA-RD-A8N9-01A-12R-A39E-31,1,1
118,TCGA-BR-8588-01A-11R-2402-13,2,3
119,TCGA-D7-A748-01A-12R-A32D-31,4,4
120,TCGA-BR-8368-01A-11R-2343-13,1,1
121,TCGA-BR-8080-01A-11R-2343-13,4,1
122,TCGA-BR-6564-01A-12R-1884-13,1,1
123,TCGA-VQ-A91K-01A-11R-A414-31,4,1
124,TCGA-BR-4370-01A-01R-1157-13,4,4
125,TCGA-CG-5718-01A-11R-1602-13,3,4
126,TCGA-VQ-A91D-01A-11R-A414-31,3,4
127,TCGA-CD-8526-01A-11R-2343-13,3,4
128,TCGA-BR-8361-01A-11R-2343-13,2,3
129,TCGA-VQ-A91E-01A-31R-A414-31,1,0
130,TCGA-D7-A74A-01A-11R-A32D-31,1,1
131,TCGA-CG-4441-01A-01R-1802-13,3,4
132,TCGA-BR-8591-01A-11R-2402-13,4,4
133,TCGA-CD-8535-01A-11R-2343-13,0,2
134,TCGA-IN-A6RI-01A-11R-A32D-31,3,2
135,TCGA-BR-A4J6-01A-11R-A251-31,1,0
136,TCGA-FP-7829-01A-11R-2055-13,3,2
137,TCGA-VQ-AA6K-01A-11R-A414-31,1,1
138,TCGA-CG-4438-01A-01R-1157-13,3,3
139,TCGA-BR-7707-01A-11R-2055-13,3,4
140,TCGA-KB-A93G-01A-11R-A39E-31,0,2
141,TCGA-BR-6457-01A-21R-1802-13,1,1
142,TCGA-CG-4475-01A-01R-1157-13,0,4
143,TCGA-BR-A44T-01A-32R-A24K-31,1,0
144,TCGA-BR-6454-01A-11R-1802-13,2,3
145,TCGA-F1-6874-01A-11R-1884-13,0,2
146,TCGA-CG-4301-01A-01R-1157-13,4,1
147,TCGA-BR-8592-01A-11R-2402-13,4,1
148,TCGA-BR-8381-01A-11R-2402-13,1,3
149,TCGA-D7-A747-01A-22R-A33Y-31,1,1
150,TCGA-BR-4357-01A-01R-1157-13,4,4
151,TCGA-FP-8211-01A-11R-2343-13,4,1
152,TCGA-HU-A4G3-01A-11R-A24K-31,1,1
153,TCGA-BR-8589-01A-11R-2402-13,2,3
154,TCGA-BR-6802-01A-11R-1884-13,2,3
155,TCGA-HF-7133-01A-11R-2055-13,4,4
156,TCGA-HF-A5NB-01A-11R-A31P-31,1,1
157,TCGA-CG-5719-01A-11R-1602-13,0,2
158,TCGA-HU-8610-01A-22R-2402-13,0,2
159,TCGA-CD-8531-01A-11R-2343-13,1,0
160,TCGA-VQ-A8PF-01A-11R-A414-31,2,3
161,TCGA-CG-5716-01A-21R-1802-13,1,0
162,TCGA-CD-5801-01A-11R-1602-13,2,3
163,TCGA-RD-A7BW-01A-11R-A32D-31,2,3
164,TCGA-HU-A4H6-01A-11R-A251-31,1,0
165,TCGA-BR-8690-01A-11R-2402-13,2,3
166,TCGA-RD-A8NB-01A-12R-A39E-31,1,1
167,TCGA-HU-A4G8-01A-11R-A251-31,3,4
168,TCGA-CG-4437-01A-01R-1802-13,2,3
169,TCGA-RD-A8MW-01A-11R-A36D-31,0,2
170,TCGA-RD-A8N1-01A-12R-A36D-31,1,1
171,TCGA-D7-8570-01A-11R-2343-13,3,4
172,TCGA-BR-8077-01A-11R-2343-13,3,4
173,TCGA-BR-4253-01A-01R-1131-13,3,3
174,TCGA-HU-8608-01A-11R-2402-13,1,3
175,TCGA-VQ-A923-01A-11R-A414-31,1,1
176,TCGA-CD-8530-01A-11R-2343-13,4,1
177,TCGA-HU-A4H3-01A-21R-A251-31,2,3
178,TCGA-HU-A4H0-01A-11R-A251-31,3,3
179,TCGA-VQ-A8PQ-01A-11R-A414-31,1,0
180,TCGA-BR-A4J8-01A-11R-A251-31,1,1
181,TCGA-BR-8487-01A-11R-2402-13,4,4
182,TCGA-HU-8602-01A-11R-2402-13,3,2
183,TCGA-VQ-A94R-01A-11R-A414-31,4,1
184,TCGA-BR-4368-01A-01R-1157-13,3,1
185,TCGA-FP-8210-01A-11R-2343-13,1,0
186,TCGA-SW-A7EA-01A-12R-A354-31,2,3
187,TCGA-CD-5803-01A-11R-1602-13,2,3
188,TCGA-CG-5717-01A-11R-1602-13,1,1
189,TCGA-D7-6520-01A-11R-1802-13,4,1
190,TCGA-BR-6803-01A-11R-1884-13,2,3
191,TCGA-D7-6519-01A-11R-1802-13,1,3
192,TCGA-HU-8249-01A-11R-A36D-31,3,4
193,TCGA-CD-8525-01A-11R-2343-13,3,3
194,TCGA-VQ-A8PO-01A-11R-A414-31,3,3
195,TCGA-BR-A4IV-01A-31R-A251-31,4,1
196,TCGA-D7-6525-01A-11R-1802-13,3,4
197,TCGA-BR-8676-01A-11R-2402-13,2,3
198,TCGA-CD-8532-01A-11R-2343-13,4,1
199,TCGA-RD-A8N4-01A-21R-A36D-31,4,1
200,TCGA-D7-5577-01A-01R-1602-13,2,3
201,TCGA-KB-A6F7-01A-12R-A32D-31,2,3
202,TCGA-RD-A8MV-01A-11R-A36D-31,1,1
203,TCGA-F1-A72C-01A-21R-A33Y-31,1,4
204,TCGA-BR-7704-01A-11R-2055-13,1,3
205,TCGA-D7-6818-01A-11R-1884-13,4,4
206,TCGA-F1-A448-01A-11R-A24K-31,0,2
207,TCGA-BR-4371-01A-01R-1157-13,4,1
208,TCGA-RD-A7C1-01A-11R-A32D-31,2,3
209,TCGA-SW-A7EB-01A-11R-A354-31,1,0
210,TCGA-BR-6566-01A-11R-1802-13,3,4
211,TCGA-B7-A5TK-01A-12R-A36D-31,2,3
212,TCGA-FP-7735-01A-11R-2055-13,3,4
213,TCGA-R5-A7O7-01A-11R-A33Y-31,4,1
214,TCGA-BR-8286-01A-12R-2343-13,3,4
215,TCGA-D7-5578-01A-01R-1602-13,1,4
216,TCGA-D7-6527-01A-11R-1802-13,1,4
217,TCGA-BR-7197-01A-11R-2203-13,0,2
218,TCGA-D7-8574-01A-13R-2343-13,1,0
219,TCGA-D7-8575-01A-11R-2343-13,0,2
220,TCGA-CG-5720-01A-11R-1602-13,3,4
221,TCGA-CD-5800-01A-11R-1602-13,3,2
222,TCGA-D7-A4YX-01A-11R-A251-31,3,3
223,TCGA-BR-8485-01A-11R-2402-13,2,3
224,TCGA-BR-8371-01A-11R-2343-13,1,0
225,TCGA-BR-4369-01A-01R-1157-13,4,1
226,TCGA-FP-7998-01A-11R-2203-13,2,3
227,TCGA-HF-7132-01A-11R-2055-13,1,0
228,TCGA-FP-A9TM-01A-11R-A39E-31,1,0
229,TCGA-CG-4477-01A-01R-1157-13,3,4
230,TCGA-VQ-A91Y-01A-11R-A414-31,4,1
231,TCGA-BR-4257-01A-01R-1131-13,0,4
232,TCGA-CD-A48A-01A-12R-A36D-31,4,4
233,TCGA-BR-8296-01A-11R-2343-13,1,0
234,TCGA-CD-8529-01A-11R-2343-13,3,4
235,TCGA-RD-A8N5-01A-12R-A36D-31,0,2
236,TCGA-BR-4201-01A-01R-1131-13,4,4
237,TCGA-HF-7131-01A-11R-2055-13,4,1
238,TCGA-BR-8284-01A-11R-2343-13,2,3
239,TCGA-CG-5723-01A-11R-1602-13,2,3
240,TCGA-BR-8590-01A-11R-2402-13,4,1
241,TCGA-BR-4280-01A-01R-1131-13,3,4
242,TCGA-HU-A4GX-01A-12R-A251-31,2,3
243,TCGA-BR-7958-01A-21R-2343-13,2,3
244,TCGA-BR-8677-01A-11R-2402-13,2,3
245,TCGA-BR-8365-01A-21R-2343-13,4,1
246,TCGA-HU-8604-01A-11R-2402-13,3,4
247,TCGA-CG-4476-01A-01R-1157-13,4,1
248,TCGA-HU-A4GQ-01A-11R-A36D-31,1,1
249,TCGA-VQ-AA6J-01A-11R-A414-31,0,2
250,TCGA-CD-8524-01A-11R-2343-13,1,3
251,TCGA-HU-A4HB-01A-12R-A251-31,1,0
252,TCGA-IN-A7NT-01A-21R-A354-31,0,2
253,TCGA-VQ-A8E3-01A-11R-A39E-31,2,3
254,TCGA-BR-8060-01A-11R-2343-13,3,4
255,TCGA-D7-8576-01A-11R-2343-13,4,4
256,TCGA-BR-6710-01A-11R-1884-13,1,0
257,TCGA-VQ-A8PB-01A-11R-A39E-31,3,2
258,TCGA-CD-A4MG-01A-11R-A251-31,4,4
259,TCGA-VQ-A8PM-01A-21R-A414-31,1,0
260,TCGA-HU-A4H2-01A-11R-A251-31,1,3
261,TCGA-B7-A5TJ-01A-11R-A31P-31,0,2
262,TCGA-CD-A489-01A-11R-A24K-31,4,1
