id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-05-4249-01A-01R-1107-07,0.002130613,0.023684753,0.079791121,0.030423283,0,0.097956845,0,0.034192041,0.029121077,0,0,0.006224167,0.010681462,0.009017982,0.03881569,0.116086594,0.351658092,0.007345148,0.139601713,0,0,0.023269419
TCGA-05-4250-01A-01R-1107-07,0.019897046,0,0.028131536,0.121202459,0,0.153461322,0.060040323,0.054603396,0,0.001783145,0,0.084363393,0.004493278,0.055821729,0.094816255,0.196107397,0.042287304,0,0.070442163,0,0.002304557,0.010244698
TCGA-05-4382-01A-01R-1206-07,0,0,0.144794398,0.038010619,0,0.141085191,0.01531148,0.001383942,0.027210623,0,0,0.013279799,0,0.21815925,0.057370033,0.299404289,0.003915617,0,0.014264584,0,0,0.025810175
TCGA-05-4384-01A-01R-1755-07,0,0,0.034666366,0.040411989,0,0.189400757,0,0.008794292,0,0,0.025537445,0.008939196,0.008852508,0.15980237,0.029135225,0.354672981,0.077459645,0.012526838,0.026913679,0,0,0.02288671
TCGA-05-4389-01A-01R-1206-07,0.030895388,0,0,0.232314334,0,0.031374753,0.070955825,0.023714087,0.057480463,0,0.016663046,0.002565499,0.007361005,0.087796481,0.110202491,0.137210656,0.11886308,0.004244562,0.067828822,0,0.000529508,0
TCGA-05-4390-01A-02R-1755-07,0.001822966,0,0.161372924,0.018353076,0,0.140513961,0.022789378,0,0.018621015,0,0.071428876,0,0,0.348921032,0.035475929,0.15537855,0.002678154,0,0,0.014088503,0,0.008555635
TCGA-05-4395-01A-01R-1206-07,0,0,0.037386025,0.065554617,0,0.202919792,0.044557342,0.051761369,0.0173866,0,0.034821977,0.036750501,0.053366175,0.041306608,0.094403651,0.139282392,0.069653922,0.041733967,0.061867569,0,0.001819251,0.005428241
TCGA-05-4397-01A-01R-1206-07,0,0,0,0.032117247,0,0.167898882,0,0,0.033217052,0,0,0.030837204,0.013538826,0.144292921,0.153798632,0.292162552,0.046329441,4.13E-07,0.08580683,0,0,0
TCGA-05-4398-01A-01R-1206-07,0.002713558,0,0.125354459,0.056359464,0,0.142485964,0.006141213,0.032394911,0.02030117,0,0.047213416,0,0.041430391,0.104891799,0.088848995,0.213258667,0.079585512,0,0,0.032331942,0.002302615,0.004385924
TCGA-05-4402-01A-01R-1206-07,0,0.002994175,0.126970701,0.048432964,0,0.103796404,0,0.028870421,0.041455342,0,0,0.024389967,0,0.105735841,0.058046977,0.287073308,0.028359779,0.036646558,0.077476072,0,0,0.029751492
