id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-91-6849-01A-11R-1949-07,0.031809403,0.0,0.206942282,0.056674960999999996,0.0,0.012828958,0.0,0.052824685,0.009804063,0.0,0.009986164,0.0,0.0,0.417772329,0.007407306,0.128617529,0.024202526000000002,0.03370859,0.000469721,0.0,0.000935909,0.006015574
TCGA-91-7771-01A-11R-2170-07,0.010990521000000001,0.0,0.082622824,0.088751985,0.0,0.40808202600000004,0.002855042,0.015640004,0.0,0.0,0.0,0.018028804,0.010154349,0.034124943,0.07791265,0.155507885,0.029249162000000002,0.008206643000000001,0.052667698,0.0,0.0,0.005205464
TCGA-91-8496-01A-11R-2403-07,0.002205719,0.002422854,0.0,0.067969166,0.0,0.09848279199999999,0.0,0.0033497809999999996,0.014099676,0.0,0.0,0.027491599,0.08859702,0.12714615199999998,0.012990189,0.246226912,0.102767501,0.001380094,0.166157163,0.0,0.012927079,0.025786302
TCGA-91-8497-01A-11R-2403-07,0.018060166000000002,0.081246135,0.23172163,0.064127795,0.0,0.133206642,0.0,0.031902448,0.054451255999999996,0.0,0.0,0.023947082999999997,0.011421633999999998,0.038105956,0.013288484,0.099615374,0.126808581,0.006297955,0.058845506,0.0,0.0,0.006953354
TCGA-91-8499-01A-11R-2403-07,0.026535628999999998,0.0,0.09438618300000001,0.103688344,0.0,0.145803466,0.027070708,0.03382252,0.004148595,0.049792732,0.0,0.002744998,0.0,0.106052478,0.104434611,0.162877358,0.107557081,0.0,0.027860505,0.0,0.003224791,0.0
TCGA-91-A4BC-01A-11R-A24H-07,0.011687162,0.0,0.12140224699999999,0.414856292,0.0,0.0,0.11966320800000001,0.040739735,0.016560758000000002,0.014959045,0.0,0.041628363,0.000568193,0.039714512,0.040865563,0.076835476,0.006154262,0.0,0.051732843,0.0,0.0,0.002632339
TCGA-91-A4BD-01A-11R-A24H-07,0.0,0.0,0.084542787,0.018272697,0.0,0.137996874,0.0,0.024346044,0.028010525,0.0,0.0,0.026218522999999997,0.159117825,0.051286752000000005,0.016560197,0.212222219,0.037981478,0.038463131,0.164980947,0.0,0.0,0.0
TCGA-92-7340-01A-21R-2045-07,0.018337506,0.0,0.100325888,0.017811268,0.0,0.192133962,0.045986075999999994,0.0,0.01702941,0.022564351,0.025069715,0.0,0.0,0.125519151,0.180118174,0.133225551,0.020564945,0.019707318,0.062870845,0.0,0.0,0.018735839
TCGA-92-7341-01A-31R-2045-07,0.049319059000000005,0.0,0.07653618200000001,0.0,0.0,0.206997408,0.0,0.0,0.01232648,0.0,0.025716591,0.008929689000000001,0.0,0.339813449,0.040065009,0.180532159,0.0,0.000824042,0.057263022999999996,0.0,0.0,0.001676908
TCGA-92-8063-01A-11R-2247-07,0.009362403,0.0,0.004163858,0.063585281,0.0,0.183218327,0.0,0.068730817,0.016371489,0.0,0.00236564,0.034075806,0.021224325,0.18192293,0.08700507199999999,0.16098832300000002,0.048537168,0.090385279,0.007172098000000001,0.0,0.0,0.020891183
TCGA-92-8064-01A-11R-2247-07,0.0,0.0,0.08828580400000001,0.311293152,0.0,0.027145733,0.108323321,0.04970926,0.00544756,0.010576173999999999,0.055560257,0.0,0.0,0.093483783,0.114519904,0.089394443,0.002386025,0.008199724,0.03567486,0.0,0.0,0.0
TCGA-92-8065-01A-11R-2247-07,0.027031321,0.0,0.163089878,0.096238926,0.0,0.147108449,0.033244458,0.025065801000000002,0.057267853,0.0,0.015479051,0.0,0.034161283,0.134015844,0.056277794000000006,0.162904613,0.030337797000000003,0.0,0.016427793,0.0,0.0,0.00134914
TCGA-93-7347-01A-11R-2187-07,0.012773858999999999,0.004526476,0.016236951,0.15892112,0.0,0.10372954599999999,0.0,0.03335793,0.110472184,0.018473724,0.0,0.052274390999999996,0.0,0.218470723,0.048957848,0.11883332699999999,0.016531119,0.008489611,0.074879979,0.0,0.0,0.0030712120000000002
TCGA-93-7348-01A-21R-2039-07,0.055496255,0.0,0.16498599,0.057462176,0.0,0.160993844,0.0,0.0,0.08205188599999999,0.0,0.000857298,0.0038166309999999996,0.0,0.296745631,0.054282162,0.086486412,0.012643046000000002,0.0,0.0,0.019400098,0.0,0.00477857
TCGA-93-8067-01A-11R-2287-07,0.006964021999999999,0.0,0.094235416,0.060354769,0.0,0.174630649,0.0,0.067629942,0.01129084,0.0,0.005354139,0.057170026,0.000841545,0.152955864,0.067731841,0.17340673899999998,0.061594202,0.017304676,0.048535329,0.0,0.0,0.0
TCGA-93-A4JN-01A-11R-A24X-07,0.056631055,0.025617665,0.163200037,0.034542853,0.0,0.128956219,0.001108694,0.02472858,0.080522935,0.0,0.0,0.04554389599999999,0.016491691,0.158087938,0.027862132,0.119248109,0.006196278,0.016519863,0.094742054,0.0,0.0,0.0
TCGA-93-A4JO-01A-21R-A24X-07,0.019231993,0.010054986,0.05880743,0.130132459,0.0,0.24573226899999998,0.002065739,0.001510676,0.064146982,0.0,0.005426096,0.003971292,0.015276361,0.13518924,0.092221283,0.16524868199999998,0.014086062,0.0,0.03428788,0.0,0.0,0.002610571
TCGA-93-A4JP-01A-11R-A24X-07,0.03032547,0.0,0.006864529,0.027869591000000003,0.0,0.04871736,0.0,0.024348584,0.000176529,0.0,0.0,0.014908036999999999,0.050060083,0.167781398,0.095285014,0.317703758,0.015038107,0.061466402999999996,0.124244045,0.0,0.013813866000000001,0.001397225
TCGA-93-A4JQ-01A-11R-A24X-07,0.060351985,0.08787631900000001,0.025360663999999998,0.059086204,0.0,0.281708666,0.016594625,0.04088711,0.052300915,0.0,0.0,0.006282733,0.0,0.18052100699999998,0.095739419,0.073660114,0.002683752,0.005308298,0.011638188,0.0,0.0,0.0
TCGA-94-7033-01A-11R-1949-07,0.0,0.0,0.104060759,0.025071559,0.0,0.099865254,0.0,0.08922437400000001,0.006473733000000001,0.012629558999999999,0.0,0.065840216,0.011952221,0.06549869700000001,0.145398141,0.088464656,0.0,0.227544585,0.057976244,0.0,0.0,0.0
