id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-EK-A2RB-01A-11R-A18M-07,0,0,0,0.196974866,0,0,0,0.040614103,0.072855313,0,0,0.189624345,0.012922392,0.028394917,0.020024547,0.086913333,0.045774934,0.184453765,0.121447484,0,0,0
TCGA-EA-A1QT-01A-11R-A14Y-07,0.008080212,0,0,0.024380799,0,0.154120519,0.094490917,0.043397375,0.010055686,0,0,0.090360741,0.051731146,0.048825594,0.171731463,0.161319048,0.062103576,0.023791331,0.048359791,0,0.002725278,0.004526524
TCGA-C5-A7CJ-01A-11R-A32P-07,0.020855646,0,0.049718201,0.134718118,0,0.224898876,0.024922188,0,0.016419613,0,0.064745597,0,0.023254678,0.08027029,0.075304649,0.061398755,0.057553922,0.061699535,0.090131016,0,0,0.014108915
TCGA-DR-A0ZM-01A-12R-A10U-07,0.007965819,0,0.029300681,0.246841196,0,0.001361753,0.003270617,0.042767845,0.120765842,0,0,0.116447843,0.009450956,0.054312588,0.260306434,0.049488521,0.020279331,0,0.037440575,0,0,0
TCGA-DS-A7WI-01A-12R-A352-07,0,0,0.037446152,0.055209065,0,0.147212226,0,0.018433816,0.112892332,0.042946913,0,0.191461229,0.034433323,0.067863178,0.043087815,0.093395229,0.072950486,0.025452117,0.038651549,0,0.005196332,0.013368238
TCGA-EK-A2R7-01A-11R-A18M-07,0.031238689,0,0.193442967,0.184084836,0,0.016952458,0.071919495,0.066936214,0,0.012606276,0,0.05791236,0,0.08695736,0.109621904,0.082677851,0.011380656,0,0.070631006,0,0,0.003637929
TCGA-ZJ-AAX8-01A-11R-A42T-07,0.000272906,0,0.049401037,0.236479047,0,0.084941616,0.026961353,0.068590471,0.11266317,0,0.008752435,0.011672429,0,0.10355024,0.092158303,0.081075409,0.054929839,0.022515638,0.046036106,0,0,0
TCGA-VS-A94Z-01A-11R-A38B-07,0.00521963,0,0.035574988,0.401556981,0,0,0.161609142,0.068030824,0.062087755,0.003721956,0.046512594,0.026209532,0,0.014838833,0.058850248,0.08301871,0.013025534,0,0.019643089,0,0,0.000100184
TCGA-C5-A1BM-01A-11R-A13Y-07,0,0.005890893,0.074590311,0.0659847,0,0.093627646,0.026389548,0.078442497,0.009273438,0.018513372,0,0.025936424,0.030655337,0.071240268,0.227513075,0.07458393,0.134217717,0.002861536,0.05638597,0,0,0.003893337
TCGA-ZJ-A8QQ-01A-11R-A37O-07,0.016617775,0,0.010279214,0.064001254,0,0.158459687,0.001334555,0,0.024663182,0,0.007887982,0.074987123,0,0.289454897,0.0993532,0.138037519,0.011180556,0.068237809,0.025420131,0,0,0.010085117
TCGA-ZJ-AAXJ-01A-11R-A42T-07,0.067897475,0,0.217325011,0,0,0.135821445,0.100013065,0.031552206,0,0.052249384,0,0.011885605,0,0.105349616,0.067518866,0.033135583,0.017317711,0.124314407,0,0,0.031081359,0.004538267
TCGA-EX-A69M-01A-11R-A32P-07,0.001526914,0,0.084395673,0.25790412,0,0.038828811,0.08171082,0.106146471,0.022890076,0.031105803,0,0.018716173,0,0.064265443,0.133468542,0.06080259,0.037244807,0.017454895,0.035145591,0,0,0.008393271
TCGA-ZJ-AAXF-01A-31R-A42T-07,0.016332829,0,0.039700951,0.076832792,0,0.23573462,0,0.046091369,0.069494442,0.033961325,0,0.084785091,0,0.168157181,0.113062487,0.015978108,0.024791225,0,0.075077578,0,0,0
TCGA-JW-A5VI-01A-11R-A28H-07,0.003635894,0,0.097421321,0.241060068,0,0.041474664,0.023886752,0.013825893,0.03692769,0,0,0.102170183,0.004328388,0.136693744,0.104134382,0.060505238,0.045796888,0,0.088138894,0,0,0
TCGA-HG-A2PA-01A-11R-A213-07,0.010663679,0,0.061935134,0.23289935,0,0.056308227,0.140863712,0.009492061,0.030389686,0,0.031510308,0.032873377,0.000268687,0.081472908,0.044816226,0.028431112,0.041809734,0.125279722,0.070873805,0,0,0.000112272
TCGA-VS-A8QM-01A-11R-A37O-07,0.019966129,0,0.033444607,0.243785511,0,0.183939237,0.024859338,0.046507556,0.089765788,0.030448087,0,0.041039743,0,0.076176387,0.071758509,0.045578436,0.018646448,0,0.070691697,0,0,0.003392527
TCGA-C5-A3HE-01A-21R-A22U-07,0.011483065,0,0.002418095,0.299069304,0,0,0.111658032,0.028581251,0.05179754,0,0,0.146255542,0,0.023773606,0.048373104,0.058397085,0.006696182,0.000209834,0.14185522,0,0,0.069432138
TCGA-VS-A94X-01A-11R-A38B-07,0,0,0.069633614,0.182346481,0,0.01999028,0,0.117243761,0.083636836,0,0.031528157,0.061778282,0,0.089409297,0.185364872,0.047699727,0,0.110419138,0,0,0,0.000949556
TCGA-JW-A5VL-01A-11R-A28H-07,0,0,0.007539199,0.177234583,0,0.043934892,0.06256559,0.080142462,0.071666375,0,0.044887578,0.059551952,0.010343476,0.080019429,0.160747794,0.1337611,0.031788831,0,0.03581674,0,0,0
TCGA-EK-A3GJ-01A-21R-A213-07,0.008816209,0,0.005148206,0.222617076,0,0.119277386,0.109279712,0.063137294,0.012467028,0.017648232,0.056836432,0,0,0.040911556,0.18646826,0.134850657,0.010362548,0,0,0.009096492,0,0.003082913
TCGA-C5-A8XI-01A-11R-A37O-07,0.014594818,0,0.104125444,0.283363098,0,0.120204765,0.029042299,0.082159141,0.025046806,0,0.002670791,0.037313443,0.016413841,0.093042618,0.112831352,0.01687326,0.006717357,0.025501797,0.030099169,0,0,0
TCGA-C5-A0TN-01A-21R-A14Y-07,0.014008542,0,0.015072139,0.088297385,0,0.105712363,0,0.02317829,0.014051538,0,0,0.080544599,0,0.32607901,0.103494962,0.11511417,0,0.084118107,0,0.029967296,0,0.0003616
TCGA-EK-A2R8-01A-21R-A18M-07,0.036720266,0,0.034922345,0.193505043,0,0.028594975,0.057985157,0.06350706,0.048432811,0,0.027973889,0.043648774,0,0.146233815,0.217470513,0.015565111,0,0,0,0.019464564,0,0.065975678
TCGA-2W-A8YY-01A-11R-A37O-07,0,0,0.070065866,0.091247402,0,0.087077378,0,0.034781989,0.051874528,0.004347536,0,0.066277947,0,0.322863813,0.143415063,0.117799192,0.00809655,0,0.002152736,0,0,0
TCGA-VS-A953-01A-11R-A38B-07,0,0,0.002786617,0.27162445,0,0.042262236,0.067542826,0.078200882,0,0,0,0.088244955,0.001043117,0.028148325,0.133030287,0.069761934,0.078086307,0,0,0.135695724,0,0.003572341
TCGA-VS-A9UU-01A-11R-A42T-07,0,0,0.240436419,0.146173927,0,0,0,0.073633957,0.067192098,0.015140804,0,0.099652089,0,0.129508579,0.084500904,0.026579899,0.000299948,0.077502008,0.01923627,0,0,0.020143099
TCGA-EK-A2H1-01A-11R-A180-07,0,0,0.039691434,0.052736754,0,0.039862548,0.07540412,0.018803837,0.004425841,0.0179544,0.004991264,0.031995774,0,0.171272016,0.18772183,0.108231261,0,0.010401296,0,0.236507626,0,0
TCGA-C5-A1BE-01B-11R-A13Y-07,0.021314666,0,0.013015165,0.09271911,0,0.126855294,0.002792218,0.08995486,0.068055426,0,0.024180118,0.01964303,0,0.14697376,0.152660683,0.113745445,0.058761343,0.027475718,0.041853165,0,0,0
TCGA-C5-A3HL-01A-11R-A213-07,0.020797758,0,0.20227046,0.112585766,0,0.096424941,0,0.052148636,0,0.001467364,0.025191404,0.050429075,0,0.154962105,0.147725675,0.033718445,0.080756797,0,0.020697783,0,0,0.000823791
TCGA-EX-A3L1-01A-11R-A32Y-07,0,0,0.020793806,0.035068198,0,0.152784267,0,0.013617786,0.015551109,0,0.028625498,0,0,0.401074367,0.013098686,0.008218793,0,0.040567218,0,0.16259894,0,0.108001331
TCGA-IR-A3LL-01A-11R-A213-07,0.012184526,0,0.014983555,0.295570858,0,0,0.0973066,0.039751464,0.06553621,0,0.051386287,0,0.000483683,0.078106817,0.188463562,0.105661443,0.022112272,0,0.028452722,0,0,0
TCGA-C5-A1MH-01A-11R-A14Y-07,0.001570712,0.009919396,0.007225318,0.181883946,0,0.098959494,0.046459824,0.053899272,0.036776895,0.015738514,0,0.010640781,0,0.222932959,0.170361355,0.128971252,0,0.003392581,0.0112677,0,0,0
TCGA-Q1-A73P-01A-11R-A32P-07,0.108046939,0,0.090712663,0.253875732,0,0.050627906,0.002475872,0.050321621,0.094949527,0,0.011631619,0,0,0.076579158,0.148874983,0.068868708,0.013027154,0,0.030008117,0,0,0
TCGA-VS-A958-01A-11R-A42T-07,0.021873272,0,0.027131911,0.357575739,0,0,0.133150514,0.048880004,0.012600662,0,0.035870444,0.063782663,0.022748503,0.012741923,0.08543365,0.108228918,0.014005291,0.014076559,0.031163854,0,0,0.010736093
TCGA-IR-A3LB-01A-11R-A24H-07,0.083740956,0,0.046097255,0.105713519,0,0.146807728,0.047434759,0.089454949,0.008403283,0,0.008612189,0,0,0.192206357,0.050712906,0.066023074,0,0.118290227,0.036502796,0,0,0
TCGA-C5-A7UI-01A-11R-A36F-07,0,0,0.123720453,0.137208716,0,0.037631577,0.027480296,0.075963198,0.163222197,0,0.078423444,0.015765474,0.002519358,0.048290538,0.053705526,0.071758107,0,0.147759607,0.016551509,0,0,0
TCGA-C5-A1MJ-01A-11R-A14Y-07,0.021576083,0,0,0.047078294,0,0.097763595,0.006373924,0.039702426,0.056078942,0,0,0.008053237,0,0.454774259,0.084520138,0.134387081,0.037715725,0,0.011976297,0,0,0
TCGA-LP-A4AW-01A-11R-A24H-07,0.039974627,0,0.089517295,0.005981011,0,0.153384366,0,0.024495393,0.014220981,0.046579966,0,0.013459277,0,0.302420616,0.027241519,0.161794659,0.014231523,0.051577217,0.052055188,0,0,0.003066364
TCGA-C5-A1BJ-01A-11R-A13Y-07,0,0.044919243,0,0.098703347,0,0.262934577,0.04170969,0.025136679,0.110665489,0,0.012378932,0,0.01549671,0.082993084,0.109584574,0.009884461,0.053147703,0.042364754,0.063720425,0,0,0.02636033
TCGA-EX-A69L-01A-11R-A32P-07,0.006795303,0,0.081908057,0.270582367,0,0,0.063502262,0.094111624,0.045483089,0.006425644,0,0,0,0.068647805,0.184049239,0.082699404,0.041387757,0,0.03163361,0,0,0.022773838
TCGA-ZJ-AAXB-01A-11R-A42T-07,0,0,0.01459407,0.025811523,0,0.223537943,0,0.111660851,0,0.020188887,0,0,0,0.221288138,0.011671278,0.184903171,0,0.164270025,0,0,0.022074115,0
TCGA-VS-A9UM-01A-11R-A42T-07,0.006114821,0,0.064960783,0.154082406,0,0.077817636,0.061270155,0.048745367,0.088445588,0,0.066967039,0.019191965,0.006804444,0.089827115,0.100492848,0.126688673,0.007684695,0.006757917,0.070919371,0,0,0.003229177
TCGA-MY-A5BE-01A-21R-A26T-07,0.013199819,0,0.050715986,0.359177021,0,0.02818134,0.119607197,0.061085411,0.061472731,0.029927205,0,0,0,0.067055389,0.112252475,0.039744388,0.018254437,0,0.0393266,0,0,0
TCGA-C5-A1MF-01A-11R-A13Y-07,0,0.035506777,0.187937442,0.165066058,0,0,0.024493718,0.091028404,0.094545225,0.001950474,0,0.069600667,0,0.140341625,0.04473987,0.071171417,0,0.026750629,0.04305003,0,0,0.003817664
TCGA-MA-AA3Y-01A-11R-A38B-07,0.003331872,0,0.026956105,0.223163899,0,0.103991175,0.136376993,0.034647522,0,0,0.072840283,0,0.00121634,0.066454114,0.182200775,0.117450419,0.019339706,0,0.011763415,0,0,0.000267382
TCGA-JX-A3Q8-01A-11R-A21T-07,0.048475069,0,0.026819992,0.186788165,0,0.046813658,0.107441397,0.075223028,0.055999231,0,0.055718894,0.069697038,0.000847797,0.01206804,0.063991245,0.090098104,0.074347599,0.038901464,0.046769278,0,0,0
TCGA-C5-A7CM-01A-11R-A33Z-07,0.087961314,0,0.407829842,0,0,0.10173651,0,0.011813281,0.003763683,0.019250203,0,0.068696389,0,0.250778327,0.000181654,0,0,0.027803204,0,0.014711404,0,0.005474188
TCGA-FU-A2QG-01A-11R-A18M-07,0.000502459,0,0,0.17660703,0,0.009198553,0.163995761,0.084039412,0,0.043751305,0.026732126,0.08438301,0,0.186510463,0.028937449,0.037244817,0,0.081529969,0.076567646,0,0,0
TCGA-C5-A1M5-01A-11R-A13Y-07,0,0.011746089,0.070141485,0.161756887,0,0.083010187,0.002260547,0.018877282,0.134705918,0,0,0.016091495,0,0.141817712,0.195334668,0.057584374,0.052757705,0.01242032,0.041495332,0,0,0
TCGA-EA-A97N-01A-11R-A38B-07,0,0.021844338,0,0.092112546,0,0.196873749,0,0.039760335,0.00524258,0,0,0.018117824,0.010455155,0.294449482,0.134678925,0.124609301,0.014021878,0.007053872,0.040780014,0,0,0
TCGA-VS-A9V2-01A-11R-A42T-07,0.002730965,0.010083742,0.006349148,0.159277351,0,0.038752968,0.009186338,0.029539631,0.116013946,0,0,0.069448284,0.003154994,0.067453787,0.222823729,0.040685582,0.188475549,0,0.036023985,0,0,0
TCGA-C5-A1MK-01A-11R-A14Y-07,0.005552539,0,0,0.054667738,0,0.336743546,0,0.076458467,0.011339609,0,0,0.010025799,0.009648718,0.180491211,0.160812441,0.083115254,0,0.040627866,0,0.026785565,0,0.003731247
TCGA-Q1-A73O-01A-11R-A32P-07,0.016953691,0,0.06380718,0.210475917,0,0.047416374,0.094938812,0.055864626,0.020076025,0,0.109842757,0.017797142,0,0.052615053,0.157838737,0.043660422,0,0.036568405,0.07214486,0,0,0
TCGA-C5-A7X8-01A-11R-A36F-07,0,0,0.337285576,0.209039421,0,0.128150116,0.017848292,0.009337556,0.055779962,0,0,0.047640769,0.019794775,0.023478507,0.010469123,0.053447553,0.058686013,0,0.029042338,0,0,0
TCGA-MU-A5YI-01A-11R-A32P-07,0,0.005084618,0.014311952,0.066893083,0,0.279811371,0,0.017991502,0.029596081,0.007656203,0,0.057529087,0,0.059333952,0.161208757,0.085165749,0.100734019,0.026993846,0.087689779,0,0,0
TCGA-C5-A1BI-01B-11R-A13Y-07,0.012840555,0,0.072773119,0.189005083,0,0,0.11851937,0.051711215,0.017671426,0,0,0.067601625,0.011498846,0.147356799,0.113477039,0.084438008,0.024011159,0,0.083974766,0,0,0.005120988
TCGA-VS-A8EL-01A-11R-A37O-07,0,0,0.039316719,0.249214764,0,0.000157625,0.097438599,0.02630806,0.035684647,0,0.083296934,0.017635409,0.004342928,0.12908886,0.107841363,0.116673072,0.060261282,0,0.030176491,0,0,0.002563248
TCGA-C5-A1ML-01A-11R-A14Y-07,0,0,0.051446777,0.051238359,0,0.067341433,0.005251069,0.051421363,0.099952783,0.01044367,0,0.050088671,0,0.267238736,0.067298447,0.117532781,0.127858472,0.001281295,0.031606144,0,0,0
TCGA-EK-A2R9-01A-11R-A18M-07,0,0,0.009488036,0.223105856,0,0.05387033,0.033071525,0.058567151,0.068720048,0,0,0.05255702,0.007854867,0.061821367,0.181194257,0.033218037,0.184494647,0,0.032036859,0,0,0
TCGA-C5-A8ZZ-01A-11R-A37O-07,0.004542747,0,0.061555004,0.043888308,0,0.052704467,0.002624393,0.012835394,0.05702055,0,0,0.00103533,0,0.408893523,0.049786343,0.191237439,0,0,0.111356881,0.002519622,0,0
TCGA-EA-A3QD-01A-32R-A22U-07,0.004715497,0.013023971,0.027206937,0.281709747,0,0.018901441,0.089368908,0.031690736,0.097456477,0.05231117,0,0.001306386,0,0.081093687,0.149980185,0.078299146,0.014164799,0.003712304,0.055058608,0,0,0
TCGA-ZJ-AB0H-01A-11R-A42T-07,0.008176045,0,0.123145489,0.12139156,0,0.191404146,0.013949329,0.066629896,0.034146792,0,0,0.025647494,0.003147582,0.109104966,0.126755087,0.105980567,0.003357104,0.046384905,0.01518499,0,0,0.005594049
TCGA-ZJ-AB0I-01A-11R-A42T-07,0,0,0,0.182132838,0,0,0,0.053427394,0.044065407,0,0,0.179428553,0,0.24292554,0.063789349,0.076303106,0.01655213,0.067385201,0,0.073990482,0,0
TCGA-C5-A7CH-01A-11R-A33Z-07,0.034194107,0,0.02645411,0.020854972,0,0.071193517,0.038424233,0.053063015,0,0,0,0.03405979,0,0.459016674,0.07193568,0.07150254,0.005870639,0.078895514,0,0.028202721,0,0.00633249
TCGA-MU-A51Y-01A-11R-A26T-07,0.012476473,0,0.015902856,0.182360283,0,0.155756819,0,0.030326323,0.072936298,0,0,0.017983257,0.006116055,0.08882352,0.228736906,0.086206465,0.024519184,0,0.077855561,0,0,0
TCGA-LP-A5U2-01A-11R-A28H-07,0.046412447,0,0.035190435,0.37199249,0,0,0.104873595,0.077316154,0.059527972,0,0,0.012939078,0.000441558,0,0.148101278,0.035378356,0.083485911,0.001812615,0.022528111,0,0,0
